EVENT_ID,event_datetime_utc,Latitude,Longitude,MRMS_HOURS_FOUND,mrms_hours_sampled,mrms_product_used,max_1h_qpe_mm,max_3h_qpe_mm,max_6h_qpe_mm,max_12h_qpe_mm
253910,2010-08-17T22:30:00Z,30.6923,-91.4428,0,0,,,,,
253911,2010-08-18T00:00:00Z,30.6923,-91.4428,0,0,,,,,
253913,2010-08-18T18:25:00Z,30.73,-91.6,0,0,,,,,
253914,2010-08-18T18:34:00Z,30.77,-91.38,0,0,,,,,
259395,2010-08-18T14:00:00Z,31.0753,-91.5371,0,0,,,,,
259396,2010-08-18T14:00:00Z,31.3,-91.37,0,0,,,,,
254298,2010-08-19T22:00:00Z,30.5,-90.47,0,0,,,,,
254290,2010-08-29T19:00:00Z,29.7,-90.53,0,0,,,,,
253921,2010-08-29T09:05:00Z,29.9982,-90.3845,0,0,,,,,
253922,2010-08-30T19:00:00Z,29.9655,-90.15,0,0,,,,,
279329,2011-03-05T00:35:00Z,30.5416,-90.5287,0,0,,,,,
280523,2011-03-08T22:20:00Z,30.58,-91.0,0,0,,,,,
280522,2011-03-08T22:00:00Z,30.65,-91.15,0,0,,,,,
280558,2011-03-09T03:25:00Z,30.8609,-90.6223,0,0,,,,,
280535,2011-03-08T22:30:00Z,30.87,-90.5,0,0,,,,,
280543,2011-03-08T22:56:00Z,30.93,-90.52,0,0,,,,,
280599,2011-03-09T12:30:00Z,29.97,-90.3466,0,0,,,,,
280684,2011-03-09T13:50:00Z,29.98,-90.15,0,0,,,,,
280610,2011-03-09T13:12:00Z,30.2502,-89.713,0,0,,,,,
280709,2011-03-09T14:45:00Z,30.28,-89.38,0,0,,,,,
280687,2011-03-09T13:50:00Z,30.4,-90.17,0,0,,,,,
282241,2011-03-29T23:40:00Z,29.87,-89.98,0,0,,,,,
282242,2011-03-29T23:45:00Z,29.9,-90.08,0,0,,,,,
282245,2011-03-29T23:55:00Z,29.9014,-90.038,0,0,,,,,
282227,2011-03-29T22:50:00Z,29.98,-90.15,0,0,,,,,
322244,2011-07-18T13:28:00Z,29.5818,-90.7162,0,0,,,,,
322246,2011-07-18T14:30:00Z,29.73,-90.6,0,0,,,,,
322240,2011-07-18T10:30:00Z,29.9178,-90.0376,0,0,,,,,
322241,2011-07-18T11:04:00Z,29.93,-89.97,0,0,,,,,
322243,2011-07-18T11:13:00Z,30.35,-89.15,0,0,,,,,
322248,2011-07-25T16:04:00Z,30.32,-89.93,0,0,,,,,
322249,2011-07-27T19:45:00Z,29.98,-90.15,0,0,,,,,
322250,2011-07-28T18:33:00Z,30.004,-90.2736,0,0,,,,,
348833,2011-09-03T19:40:00Z,30.335,-88.5035,0,0,,,,,
348831,2011-09-03T11:45:00Z,30.5126,-90.9283,0,0,,,,,
348832,2011-09-04T12:45:00Z,29.6022,-90.7649,0,0,,,,,
358392,2012-02-18T20:55:00Z,30.27,-89.78,0,0,,,,,
363204,2012-03-21T21:50:00Z,30.27,-89.78,0,0,,,,,
364390,2012-03-22T01:40:00Z,30.32,-89.25,0,0,,,,,
363207,2012-03-22T00:15:00Z,30.37,-89.37,0,0,,,,,
364396,2012-03-22T01:50:00Z,30.5632,-89.5868,0,0,,,,,
364398,2012-03-22T05:15:00Z,30.3133,-89.2461,0,0,,,,,
364473,2012-03-23T09:42:00Z,29.6,-90.72,0,0,,,,,
364474,2012-03-23T11:27:00Z,29.762,-90.5589,0,0,,,,,
364472,2012-03-23T08:45:00Z,29.95,-90.45,0,0,,,,,
364487,2012-04-04T04:30:00Z,29.9807,-90.0646,0,0,,,,,
364505,2012-04-04T07:54:00Z,29.9402,-90.2118,0,0,,,,,
364507,2012-04-04T07:54:00Z,29.95,-90.1,0,0,,,,,
367347,2012-04-21T15:25:00Z,29.92,-90.33,0,0,,,,,
371075,2012-05-02T21:15:00Z,30.3,-90.97,0,0,,,,,
371074,2012-05-02T20:40:00Z,30.4073,-91.1021,0,0,,,,,
371073,2012-05-02T19:00:00Z,30.72,-90.5,0,0,,,,,
380459,2012-06-07T14:25:00Z,29.8725,-90.0822,0,0,,,,,
380460,2012-06-10T11:34:00Z,30.36,-90.09,0,0,,,,,
380462,2012-06-10T14:34:00Z,30.4726,-89.6911,0,0,,,,,
380461,2012-06-10T11:14:00Z,30.5005,-90.0763,0,0,,,,,
384834,2012-07-19T19:40:00Z,30.3355,-89.82,0,0,,,,,
384836,2012-07-19T20:00:00Z,30.3711,-90.059,0,0,,,,,
384851,2012-07-20T17:26:00Z,29.57,-90.67,0,0,,,,,
384845,2012-07-20T15:20:00Z,29.9186,-90.125,0,0,,,,,
384852,2012-07-20T19:45:00Z,29.95,-90.25,0,0,,,,,
384853,2012-07-20T19:45:00Z,30.05,-90.03,0,0,,,,,
392865,2012-08-09T17:50:00Z,29.95,-90.1,0,0,,,,,
392877,2012-08-11T10:35:00Z,30.35,-89.82,0,0,,,,,
392896,2012-08-16T19:24:00Z,29.95,-90.0,0,0,,,,,
410285,2012-08-29T07:00:00Z,29.9725,-90.116,0,0,,,,,
410275,2012-08-29T17:30:00Z,30.3449,-89.187,0,0,,,,,
410279,2012-08-30T00:00:00Z,30.4429,-89.6938,0,0,,,,,
410281,2012-08-30T02:00:00Z,31.2904,-90.5479,0,0,,,,,
410284,2012-08-30T02:00:00Z,31.3046,-90.5878,0,0,,,,,
410276,2012-08-30T08:30:00Z,30.3505,-88.4166,0,0,,,,,
413272,2012-09-05T10:20:00Z,30.392,-88.7495,0,0,,,,,
413273,2012-09-05T10:30:00Z,30.3938,-88.7507,0,0,,,,,
428682,2013-01-09T07:32:00Z,30.23,-90.92,0,0,,,,,
428681,2013-01-09T07:32:00Z,30.4962,-90.7379,0,0,,,,,
428686,2013-01-10T15:00:00Z,29.83,-90.97,0,0,,,,,
428689,2013-01-10T16:30:00Z,30.23,-90.92,0,0,,,,,
428688,2013-01-10T16:30:00Z,30.4533,-90.9629,0,0,,,,,
429982,2013-02-26T02:10:00Z,30.4602,-89.0415,0,0,,,,,
429984,2013-02-26T01:45:00Z,30.6138,-88.4324,0,0,,,,,
435741,2013-04-14T10:00:00Z,30.68,-91.43,0,0,,,,,
452197,2013-05-01T16:50:00Z,29.98,-90.23,0,0,,,,,
452196,2013-05-01T16:55:00Z,30.0253,-90.2383,0,0,,,,,
452188,2013-05-01T23:30:00Z,30.4772,-88.6665,0,0,,,,,
452194,2013-05-01T22:46:00Z,30.4916,-89.0009,0,0,,,,,
452198,2013-05-02T20:24:00Z,29.95,-90.1,0,0,,,,,
453513,2013-05-22T09:35:00Z,30.83,-91.22,0,0,,,,,
453550,2013-06-06T20:58:00Z,30.27,-89.78,0,0,,,,,
453576,2013-07-06T14:58:00Z,30.43,-88.88,0,0,,,,,
453589,2013-07-11T18:10:00Z,30.1701,-89.7144,0,0,,,,,
473679,2013-08-18T18:00:00Z,30.3978,-88.8636,0,0,,,,,
501872,2014-02-21T04:00:00Z,30.67,-90.58,0,0,,,,,
501834,2014-02-21T02:45:00Z,31.28,-90.47,0,0,,,,,
501905,2014-03-28T20:00:00Z,30.276,-89.7303,0,0,,,,,
501904,2014-03-28T15:45:00Z,30.3237,-89.7604,0,0,,,,,
501903,2014-03-28T10:30:00Z,31.3208,-91.1021,0,0,,,,,
501902,2014-03-28T10:15:00Z,31.3234,-91.1309,0,0,,,,,
501964,2014-04-14T22:59:00Z,30.5137,-89.8143,0,0,,,,,
501965,2014-04-15T00:00:00Z,30.5647,-89.43,0,0,,,,,
512337,2014-04-29T07:00:00Z,30.348,-89.1348,0,0,,,,,
512342,2014-04-29T23:30:00Z,30.361,-89.1149,0,0,,,,,
512339,2014-04-29T23:35:00Z,30.3847,-88.7984,0,0,,,,,
512385,2014-05-10T01:38:00Z,29.9205,-90.0769,0,0,,,,,
512388,2014-05-10T02:07:00Z,29.9377,-90.0645,0,0,,,,,
512387,2014-05-10T01:44:00Z,30.4439,-89.1369,0,0,,,,,
512390,2014-05-14T15:35:00Z,30.3267,-89.279,0,0,,,,,
512396,2014-05-28T11:45:00Z,30.0744,-90.5912,0,0,,,,,
512395,2014-05-28T11:30:00Z,30.0771,-90.6873,0,0,,,,,
512399,2014-05-28T13:00:00Z,30.2437,-91.0053,0,0,,,,,
512398,2014-05-28T15:00:00Z,30.48,-90.1,0,0,,,,,
512400,2014-05-30T00:55:00Z,30.27,-89.78,0,0,,,,,
527018,2014-07-11T19:35:00Z,30.27,-89.78,0,0,,,,,
533134,2014-09-05T15:44:00Z,29.93,-89.97,0,0,,,,,
541030,2014-10-13T23:09:00Z,30.2912,-89.8059,0,0,,,,,
563954,2015-04-13T00:49:00Z,30.3931,-88.8725,0,0,,,,,
563951,2015-04-13T00:10:00Z,30.3967,-88.8725,0,0,,,,,
563994,2015-04-14T15:06:00Z,29.586,-90.6544,0,0,,,,,
564008,2015-04-14T17:20:00Z,29.73,-90.6,0,0,,,,,
563996,2015-04-14T15:25:00Z,29.93,-90.2,0,0,,,,,
563984,2015-04-14T13:34:00Z,29.93,-90.35,0,0,,,,,
563997,2015-04-14T15:45:00Z,30.07,-89.8,0,0,,,,,
563987,2015-04-14T13:34:00Z,30.07,-90.48,0,0,,,,,
563983,2015-04-14T12:45:00Z,30.1006,-90.961,0,0,,,,,
563991,2015-04-14T14:56:00Z,30.1692,-91.1179,0,0,,,,,
563979,2015-04-14T12:45:00Z,30.27,-89.78,0,0,,,,,
563989,2015-04-14T14:00:00Z,30.28,-89.38,0,0,,,,,
564002,2015-04-14T16:28:00Z,30.348,-90.0505,0,0,,,,,
563999,2015-04-14T16:21:00Z,30.3924,-88.945,0,0,,,,,
564001,2015-04-14T16:23:00Z,30.4978,-89.6776,0,0,,,,,
563988,2015-04-14T14:00:00Z,30.58,-89.67,0,0,,,,,
564028,2015-04-15T17:57:00Z,30.3767,-89.1628,0,0,,,,,
564024,2015-04-15T17:29:00Z,30.4,-89.07,0,0,,,,,
569223,2015-05-17T02:55:00Z,30.489,-89.5125,13,0,GaugeCorr_QPE_01H,,,,
569220,2015-05-17T02:20:00Z,30.5349,-89.168,13,0,GaugeCorr_QPE_01H,,,,
569235,2015-05-21T19:21:00Z,30.48,-90.87,13,0,GaugeCorr_QPE_01H,,,,
569270,2015-05-31T19:15:00Z,29.9193,-90.1284,13,0,GaugeCorr_QPE_01H,,,,
576589,2015-06-09T15:44:00Z,30.5364,-91.1852,13,0,GaugeCorr_QPE_01H,,,,
576610,2015-06-24T22:55:00Z,30.4665,-91.1254,13,0,GaugeCorr_QPE_01H,,,,
596683,2015-09-27T20:30:00Z,30.3492,-88.5594,13,0,GaugeCorr_QPE_01H,,,,
623144,2016-03-11T02:05:00Z,30.4503,-90.5941,13,0,GaugeCorr_QPE_01H,,,,
637638,2016-03-11T02:00:00Z,30.6758,-90.7828,13,0,GaugeCorr_QPE_01H,,,,
637631,2016-03-11T05:00:00Z,30.6864,-90.2493,13,0,GaugeCorr_QPE_01H,,,,
636864,2016-03-11T05:00:00Z,30.6924,-89.8366,13,0,GaugeCorr_QPE_01H,,,,
623143,2016-03-11T01:10:00Z,30.7755,-90.4697,13,0,GaugeCorr_QPE_01H,,,,
637634,2016-03-11T04:00:00Z,30.9919,-90.5603,13,0,GaugeCorr_QPE_01H,,,,
637627,2016-03-11T01:00:00Z,30.9988,-90.5443,13,0,GaugeCorr_QPE_01H,,,,
637647,2016-03-11T04:00:00Z,30.9998,-90.3402,13,0,GaugeCorr_QPE_01H,,,,
638047,2016-03-11T04:00:00Z,31.0048,-90.5081,13,0,GaugeCorr_QPE_01H,,,,
626986,2016-03-11T05:00:00Z,31.0083,-90.3035,13,0,GaugeCorr_QPE_01H,,,,
623151,2016-03-11T11:45:00Z,30.4026,-90.4683,13,0,GaugeCorr_QPE_01H,,,,
623166,2016-03-11T19:30:00Z,30.4346,-90.3886,13,0,GaugeCorr_QPE_01H,,,,
623146,2016-03-11T07:40:00Z,30.4417,-90.4189,13,0,GaugeCorr_QPE_01H,,,,
623145,2016-03-11T06:30:00Z,30.4441,-90.434,13,0,GaugeCorr_QPE_01H,,,,
623148,2016-03-11T08:15:00Z,30.51,-90.46,13,0,GaugeCorr_QPE_01H,,,,
623149,2016-03-11T08:55:00Z,30.51,-90.46,13,0,GaugeCorr_QPE_01H,,,,
623152,2016-03-11T17:00:00Z,30.5274,-90.0391,13,0,GaugeCorr_QPE_01H,,,,
623147,2016-03-11T07:50:00Z,30.6471,-90.1607,13,0,GaugeCorr_QPE_01H,,,,
623150,2016-03-11T09:15:00Z,30.8138,-90.1078,13,0,GaugeCorr_QPE_01H,,,,
623205,2016-04-01T15:30:00Z,29.98,-90.23,13,0,GaugeCorr_QPE_01H,,,,
623206,2016-04-01T15:30:00Z,30.05,-90.03,13,0,GaugeCorr_QPE_01H,,,,
623350,2016-04-28T11:15:00Z,30.3919,-88.8876,13,0,GaugeCorr_QPE_01H,,,,
636709,2016-05-17T20:33:00Z,30.5,-89.13,12,0,GaugeCorr_QPE_01H,,,,
655873,2016-08-11T14:00:00Z,29.987,-90.364,13,0,GaugeCorr_QPE_01H,,,,
657209,2016-08-11T14:00:00Z,30.062,-90.874,13,0,GaugeCorr_QPE_01H,,,,
657051,2016-08-11T15:00:00Z,30.173,-90.892,13,0,GaugeCorr_QPE_01H,,,,
655874,2016-08-11T14:00:00Z,30.495,-89.028,13,0,GaugeCorr_QPE_01H,,,,
657052,2016-08-12T12:00:00Z,30.335,-91.012,13,0,GaugeCorr_QPE_01H,,,,
655852,2016-08-12T09:15:00Z,30.647,-90.906,13,0,GaugeCorr_QPE_01H,,,,
655492,2016-08-12T12:30:00Z,30.716,-90.853,13,0,GaugeCorr_QPE_01H,,,,
656000,2016-08-12T10:30:00Z,30.999,-91.176,13,0,GaugeCorr_QPE_01H,,,,
656655,2016-08-12T09:15:00Z,30.999,-90.566,13,0,GaugeCorr_QPE_01H,,,,
656004,2016-08-12T07:00:00Z,30.999,-90.826,13,0,GaugeCorr_QPE_01H,,,,
655871,2016-08-12T10:30:00Z,31.0,-91.515,13,0,GaugeCorr_QPE_01H,,,,
657314,2016-08-12T17:30:00Z,31.0,-90.347,13,0,GaugeCorr_QPE_01H,,,,
656891,2016-08-12T15:00:00Z,31.011,-91.768,13,0,GaugeCorr_QPE_01H,,,,
655999,2016-08-12T08:15:00Z,31.131,-90.548,13,0,GaugeCorr_QPE_01H,,,,
655992,2016-08-12T09:15:00Z,31.323,-91.385,13,0,GaugeCorr_QPE_01H,,,,
655998,2016-08-12T09:15:00Z,31.323,-91.097,13,0,GaugeCorr_QPE_01H,,,,
656895,2016-08-13T15:30:00Z,30.569,-91.398,13,0,GaugeCorr_QPE_01H,,,,
654774,2016-08-17T23:30:00Z,30.5347,-91.1921,13,0,GaugeCorr_QPE_01H,,,,
654775,2016-08-18T21:00:00Z,30.87,-91.03,13,0,GaugeCorr_QPE_01H,,,,
669645,2017-01-19T15:20:00Z,30.5247,-91.1876,13,0,GaugeCorr_QPE_01H,,,,
688734,2017-04-03T10:15:00Z,30.28,-89.78,13,0,GaugeCorr_QPE_01H,,,,
688729,2017-04-03T08:00:00Z,30.4558,-90.9699,13,0,GaugeCorr_QPE_01H,,,,
688731,2017-04-03T08:30:00Z,30.4668,-90.9702,13,0,GaugeCorr_QPE_01H,,,,
715423,2017-06-22T11:30:00Z,30.3443,-88.7275,13,0,GaugeCorr_QPE_01H,,,,
707040,2017-06-24T18:40:00Z,29.99,-90.36,13,0,GaugeCorr_QPE_01H,,,,
707043,2017-06-29T22:10:00Z,30.36,-89.18,13,0,GaugeCorr_QPE_01H,,,,
707042,2017-06-29T21:30:00Z,30.4547,-89.1403,13,0,GaugeCorr_QPE_01H,,,,
707041,2017-06-29T21:00:00Z,30.6344,-88.6157,13,0,GaugeCorr_QPE_01H,,,,
713219,2017-07-08T12:50:00Z,30.96,-91.11,13,0,GaugeCorr_QPE_01H,,,,
713238,2017-08-04T19:45:00Z,30.0091,-90.3028,13,0,GaugeCorr_QPE_01H,,,,
713244,2017-08-05T19:55:00Z,30.0091,-90.1165,13,0,GaugeCorr_QPE_01H,,,,
713245,2017-08-06T14:00:00Z,30.66,-89.11,13,0,GaugeCorr_QPE_01H,,,,
713248,2017-08-09T00:00:00Z,30.01,-90.08,13,0,GaugeCorr_QPE_01H,,,,
713264,2017-08-29T12:00:00Z,29.6788,-90.5315,13,0,GaugeCorr_QPE_01H,,,,
713266,2017-08-29T13:00:00Z,29.9217,-90.3371,13,0,GaugeCorr_QPE_01H,,,,
713267,2017-08-29T14:00:00Z,30.0568,-90.8154,13,0,GaugeCorr_QPE_01H,,,,
713255,2017-08-30T06:30:00Z,30.371,-88.5313,13,0,GaugeCorr_QPE_01H,,,,
720035,2017-10-02T16:30:00Z,29.9859,-90.1416,13,0,GaugeCorr_QPE_01H,,,,
720034,2017-10-02T16:15:00Z,29.99,-90.0788,13,0,GaugeCorr_QPE_01H,,,,
720038,2017-10-02T17:00:00Z,29.994,-90.1045,13,0,GaugeCorr_QPE_01H,,,,
720095,2017-10-22T03:18:00Z,30.521,-91.4681,13,0,GaugeCorr_QPE_01H,,,,
720093,2017-10-22T03:00:00Z,30.5617,-91.4722,13,0,GaugeCorr_QPE_01H,,,,
720089,2017-10-22T14:30:00Z,30.3372,-89.1711,13,0,GaugeCorr_QPE_01H,,,,
720098,2017-10-22T14:30:00Z,30.6551,-91.3699,13,0,GaugeCorr_QPE_01H,,,,
724115,2017-10-22T11:00:00Z,30.7448,-91.1707,13,0,GaugeCorr_QPE_01H,,,,
720096,2017-10-22T11:15:00Z,30.8321,-91.4378,13,0,GaugeCorr_QPE_01H,,,,
731719,2018-01-27T18:45:00Z,30.3904,-91.1188,13,0,GaugeCorr_QPE_01H,,,,
731718,2018-01-27T17:20:00Z,30.4135,-91.18,13,0,GaugeCorr_QPE_01H,,,,
731722,2018-01-27T21:10:00Z,30.5524,-91.055,13,0,GaugeCorr_QPE_01H,,,,
742990,2018-04-14T22:39:00Z,30.3037,-89.2838,13,0,GaugeCorr_QPE_01H,,,,
742986,2018-04-14T18:00:00Z,30.31,-89.33,13,0,GaugeCorr_QPE_01H,,,,
742988,2018-04-14T20:30:00Z,30.36,-89.17,13,0,GaugeCorr_QPE_01H,,,,
742989,2018-04-14T20:55:00Z,30.36,-89.17,13,0,GaugeCorr_QPE_01H,,,,
742987,2018-04-14T18:00:00Z,30.4938,-89.3819,13,0,GaugeCorr_QPE_01H,,,,
742991,2018-04-14T22:41:00Z,30.52,-89.11,13,0,GaugeCorr_QPE_01H,,,,
742992,2018-04-14T23:30:00Z,30.6683,-89.2193,13,0,GaugeCorr_QPE_01H,,,,
752754,2018-05-18T20:30:00Z,30.027,-90.0409,13,0,GaugeCorr_QPE_01H,,,,
752780,2018-06-12T21:52:00Z,30.4333,-91.1841,13,0,GaugeCorr_QPE_01H,,,,
756331,2018-07-03T10:40:00Z,29.92,-90.01,13,0,GaugeCorr_QPE_01H,,,,
756334,2018-07-03T11:35:00Z,29.92,-90.01,13,0,GaugeCorr_QPE_01H,,,,
767703,2018-07-16T20:35:00Z,30.2357,-89.4391,13,0,GaugeCorr_QPE_01H,,,,
767702,2018-07-16T19:15:00Z,30.44,-89.07,13,0,GaugeCorr_QPE_01H,,,,
767852,2018-08-18T17:07:00Z,29.9285,-90.0671,13,0,GaugeCorr_QPE_01H,,,,
767854,2018-08-18T18:24:00Z,29.96,-90.34,13,0,GaugeCorr_QPE_01H,,,,
792852,2018-12-27T21:00:00Z,30.699,-91.2477,13,0,GaugeCorr_QPE_01H,,,,
792854,2018-12-28T00:15:00Z,30.97,-89.8,13,0,GaugeCorr_QPE_01H,,,,
792863,2018-12-28T01:00:00Z,31.0452,-89.8165,13,0,GaugeCorr_QPE_01H,,,,
792864,2018-12-28T03:58:00Z,31.0817,-89.7437,13,0,GaugeCorr_QPE_01H,,,,
792855,2018-12-28T07:30:00Z,29.9419,-90.3199,13,0,GaugeCorr_QPE_01H,,,,
821345,2019-04-18T18:20:00Z,30.4347,-91.1064,13,0,GaugeCorr_QPE_01H,,,,
815634,2019-05-09T23:00:00Z,30.28,-91.24,13,0,GaugeCorr_QPE_01H,,,,
815629,2019-05-09T20:30:00Z,30.5354,-91.1869,13,0,GaugeCorr_QPE_01H,,,,
815630,2019-05-09T21:30:00Z,30.83,-91.05,13,0,GaugeCorr_QPE_01H,,,,
815628,2019-05-09T19:15:00Z,30.86,-91.01,13,0,GaugeCorr_QPE_01H,,,,
815635,2019-05-10T12:30:00Z,30.5613,-91.0231,13,0,GaugeCorr_QPE_01H,,,,
815737,2019-05-11T21:47:00Z,30.75,-91.34,13,0,GaugeCorr_QPE_01H,,,,
815741,2019-05-11T07:00:00Z,30.9606,-89.7072,13,0,GaugeCorr_QPE_01H,,,,
830598,2019-05-11T06:00:00Z,30.9905,-89.8676,13,0,GaugeCorr_QPE_01H,,,,
815761,2019-05-12T05:31:00Z,29.8405,-90.1192,13,0,GaugeCorr_QPE_01H,,,,
815764,2019-05-12T10:30:00Z,29.9245,-90.069,13,0,GaugeCorr_QPE_01H,,,,
815765,2019-05-12T11:05:00Z,29.98,-90.35,13,0,GaugeCorr_QPE_01H,,,,
815762,2019-05-12T09:37:00Z,30.0,-90.42,13,0,GaugeCorr_QPE_01H,,,,
815763,2019-05-12T10:20:00Z,30.0175,-90.1363,13,0,GaugeCorr_QPE_01H,,,,
839660,2019-06-06T12:30:00Z,30.5307,-90.9718,13,0,GaugeCorr_QPE_01H,,,,
